language,page_title,domain,kingdom,phylum,class,order,suborder,superfamily,family,genus,species,Wikidata,Wikispecies,ADW,BOLD,CoL,GBIF,iNaturalist,IRMNG,ITIS,IUCN,NCBI,Open Tree of Life,RD,Species+
en,Buridan's ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Candlewick (character),,,,,,,,,,,,,,,,,,,,,,,,
en,Contrary Mary,,,,,,,,,,,,,,,,,,,,,,,,
en,Dominick the Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey (fairy tale),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey (Shrek),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Cabbages,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie (TV series),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head (Turkish folktale),,,,,,,,,,,,,,,,,,,,,,,,
en,Eeyore,,,,,,,,,,,,,,,,,,,,,,,,
en,The Entry,,,,,,,,,,,,,,,,,,,,,,,,
en,EO (film),,,,,,,,,,,,,,,,,,,,,,,,
en,The Golden Ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Holly Dolly,,,,,,,,,,,,,,,,,,,,,,,,
en,The Horse and the Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Hunky and Spunky,,,,,,,,,,,,,,,,,,,,,,,,
en,J. Jonah Jameson,,,,,,,,,,,,,,,,,,,,,,,,
en,Jenny the Burro,,,,,,,,,,,,,,,,,,,,,,,,
en,Der Kuckuck und der Esel,,,,,,,,,,,,,,,,,,,,,,,,
en,The Lion Grown Old,,,,,,,,,,,,,,,,,,,,,,,,
